step          none      temp        potential_energy  none                none              none          none
      9730  0.00000000  306.096   -176.9518659365   -108.3844305537      0.0000000000   0.456927E+02     3.43
      9735  0.00000000  125.353   -176.9447765752   -108.3810994850      0.0000000000   0.457990E+02     3.64
      9740  0.00000000  147.041   -176.9342672014   -108.3680636928      0.0000000000   0.458257E+02     1.93
      9745  0.00000000  357.291   -176.9496457296   -108.3724991800      0.0000000000   0.459688E+02     3.92
      9750  0.00000000  232.055   -176.9463452208   -108.3695303749      0.0000000000   0.461431E+02     2.57
      9755  0.00000000  453.374   -176.9618795626   -108.3739233493      0.0000000000   0.462322E+02     3.00
      9760  0.00000000  137.102   -176.9715416109   -108.3884017393      0.0000000000   0.463738E+02     3.21
      9765  0.00000000  437.260   -176.9543435348   -108.3547692380      0.0000000000   0.465925E+02     2.78
      9770  0.00000000  843.550   -176.9698068537   -108.3487623947      0.0000000000   0.466085E+02     4.71
      9775  0.00000000  580.806   -176.9595737469   -108.3342428813      0.0000000000   0.467837E+02     2.36
      9780  0.00000000  283.173   -176.9648282822   -108.3374476681      0.0000000000   0.469638E+02     2.57
      9785  0.00000000  281.489   -176.9804721427   -108.3437235166      0.0000000000   0.468711E+02     3.22
      9790  0.00000000  743.119   -176.9647638714   -108.3084057990      0.0000000000   0.471443E+02     2.35
      9795  0.00000000  598.037   -176.9643402853   -108.3032893704      0.0000000000   0.471657E+02     2.79
      9800  0.00000000  241.442   -176.9751183271   -108.3193115132      0.0000000000   0.471301E+02     2.57
      9805  0.00000000  279.333   -176.9684441361   -108.3099707976      0.0000000000   0.473041E+02     3.42
      9810  0.00000000  207.595   -176.9799422182   -108.3202807666      0.0000000000   0.473503E+02     4.29
      9815  0.00000000 1184.171   -176.9678030506   -108.2685430869      0.0000000000   0.472795E+02     5.49
      9820  0.00000000  196.889   -176.9643390475   -108.2765772607      0.0000000000   0.473031E+02     4.07
      9825  0.00000000  407.517   -176.9539509909   -108.2551543249      0.0000000000   0.472767E+02     2.35
      9830  0.00000000  542.273   -176.9621337425   -108.2548257442      0.0000000000   0.472961E+02     3.43
      9835  0.00000000   92.027   -176.9639445056   -108.2642082462      0.0000000000   0.473524E+02     4.07
      9840  0.00000000  424.424   -176.9673925365   -108.2524208866      0.0000000000   0.473412E+02     4.07
      9845  0.00000000  651.778   -176.9728392699   -108.2493446481      0.0000000000   0.473211E+02     4.07
      9850  0.00000000  401.967   -176.9607014891   -108.2421171139      0.0000000000   0.474327E+02     2.78
      9855  0.00000000 1269.494   -176.9746253176   -108.2247043042      0.0000000000   0.474388E+02     2.99
      9860  0.00000000 1022.758   -176.9766803497   -108.2156155405      0.0000000000   0.474999E+02     2.79
      9865  0.00000000  278.853   -176.9681503036   -108.2014456910      0.0000000000   0.476591E+02     3.21
      9870  0.00000000  759.681   -176.9747830662   -108.1721725797      0.0000000000   0.478032E+02     3.00
      9875  0.00000000  396.566   -176.9838100650   -108.1775906825      0.0000000000   0.478963E+02     3.00
      9880  0.00000000  712.986   -176.9872709878   -108.1621499666      0.0000000000   0.479414E+02     2.78
      9885  0.00000000  273.613   -176.9837220934   -108.1556988987      0.0000000000   0.480771E+02     2.40
      9890  0.00000000  628.706   -176.9958923759   -108.1419416856      0.0000000000   0.480205E+02     4.07
      9895  0.00000000  148.939   -176.9788187095   -108.1304080728      0.0000000000   0.481131E+02     2.36
      9900  0.00000000  403.301   -176.9844248708   -108.1220637532      0.0000000000   0.481375E+02     2.15
      9905  0.00000000  760.722   -176.9951757170   -108.1119101408      0.0000000000   0.480415E+02     2.57
      9910  0.00000000  528.808   -176.9888220404   -108.0971617724      0.0000000000   0.481658E+02     2.57
      9915  0.00000000  297.912   -176.9890358542   -108.0930161203      0.0000000000   0.483485E+02     2.65
      9920  0.00000000  102.664   -177.0018226895   -108.1027105147      0.0000000000   0.481170E+02     2.36
      9925  0.00000000  180.577   -176.9911927712   -108.0769161708      0.0000000000   0.485029E+02     2.78
      9930  0.00000000  153.515   -176.9927841006   -108.0643704805      0.0000000000   0.483320E+02     2.78
      9935  0.00000000  290.658   -177.0011241337   -108.0543090434      0.0000000000   0.485891E+02     3.21
      9940  0.00000000  736.795   -177.0119125067   -108.0427307856      0.0000000000   0.485958E+02     3.00
      9945  0.00000000  538.861   -177.0078702529   -108.0357204627      0.0000000000   0.487981E+02     1.93
      9950  0.00000000  175.102   -177.0158570816   -108.0475064061      0.0000000000   0.488216E+02     3.21
      9955  0.00000000  309.087   -177.0104758523   -108.0357713490      0.0000000000   0.488132E+02     2.78
      9960  0.00000000  190.018   -176.9991758984   -108.0267156213      0.0000000000   0.489376E+02     3.00
      9965  0.00000000  367.063   -176.9919420112   -108.0134459759      0.0000000000   0.489547E+02     3.00
      9970  0.00000000  389.505   -176.9954660266   -108.0116294103      0.0000000000   0.488338E+02     2.57
      9975  0.00000000  675.573   -176.9904285102   -107.9941288057      0.0000000000   0.491877E+02     2.57
      9980  0.00000000  778.002   -177.0110041923   -107.9989181179      0.0000000000   0.491420E+02     4.96
      9985  0.00000000  663.744   -177.0122208719   -107.9935574159      0.0000000000   0.491364E+02     2.14
      9990  0.00000000  119.318   -177.0017657020   -107.9881743455      0.0000000000   0.493200E+02     3.21
      9995  0.00000000  413.658   -176.9942299907   -107.9600995848      0.0000000000   0.491728E+02     3.21
     10000  0.00000000  111.226   -176.9955635085   -107.9671422403      0.0000000000   0.491268E+02     3.21
     10005  0.00000000  446.082   -176.9930971091   -107.9542892397      0.0000000000   0.492099E+02     3.90
     10010  0.00000000  495.175   -177.0101520419   -107.9674784282      0.0000000000   0.490817E+02     2.78
     10015  0.00000000  309.574   -177.0133494357   -107.9687003844      0.0000000000   0.492488E+02     2.36
     10020  0.00000000  340.493   -176.9898547687   -107.9377578180      0.0000000000   0.490993E+02     2.61
     10025  0.00000000  257.585   -176.9793371324   -107.9256881168      0.0000000000   0.490033E+02     3.00
     10030  0.00000000  166.021   -176.9659217490   -107.9121273216      0.0000000000   0.489235E+02     3.21
     10035  0.00000000  241.363   -176.9779368193   -107.9182566672      0.0000000000   0.490784E+02     2.78
     10040  0.00000000  367.094   -177.0097652964   -107.9433239073      0.0000000000   0.490683E+02     2.14
     10045  0.00000000  255.156   -177.0158968777   -107.9466936612      0.0000000000   0.490891E+02     3.21
     10050  0.00000000  217.058   -176.9980772212   -107.9228822049      0.0000000000   0.492348E+02     1.92
     10055  0.00000000  820.664   -176.9942902643   -107.8938101753      0.0000000000   0.489199E+02     2.57
     10060  0.00000000  615.627   -176.9575145186   -107.8544765769      0.0000000000   0.490213E+02     3.00
     10065  0.00000000  861.913   -176.9571652718   -107.8289107887      0.0000000000   0.489245E+02     3.42
     10070  0.00000000  470.292   -176.9890814808   -107.8559462015      0.0000000000   0.490377E+02     3.21
     10075  0.00000000  203.057   -176.9918427052   -107.8565394135      0.0000000000   0.490420E+02     3.89
     10080  0.00000000  240.033   -176.9904921936   -107.8513911727      0.0000000000   0.490614E+02     3.21
     10085  0.00000000  750.204   -176.9890829987   -107.8315954002      0.0000000000   0.489870E+02     4.93
     10090  0.00000000  648.367   -176.9772345836   -107.8121353780      0.0000000000   0.489274E+02     2.14
     10095  0.00000000  239.698   -176.9727665177   -107.8108196513      0.0000000000   0.488533E+02     4.92
     10100  0.00000000  620.379   -176.9604190094   -107.7777697233      0.0000000000   0.489435E+02     2.15
     10105  0.00000000  268.935   -176.9841703543   -107.8080949814      0.0000000000   0.488123E+02     4.50
     10110  0.00000000  521.341   -176.9908023730   -107.8063859126      0.0000000000   0.488100E+02     3.21
     10115  0.00000000  714.550   -176.9759420992   -107.7782440608      0.0000000000   0.489351E+02     2.79
     10120  0.00000000  599.806   -176.9698918501   -107.7609895117      0.0000000000   0.489124E+02     3.00
     10125  0.00000000  272.939   -176.9710931736   -107.7624408269      0.0000000000   0.487379E+02     2.57
     10130  0.00000000  437.256   -176.9701294006   -107.7511027347      0.0000000000   0.488227E+02     3.22
     10135  0.00000000  238.325   -176.9847629183   -107.7700950132      0.0000000000   0.488907E+02     4.50
     10140  0.00000000  180.427   -176.9866303255   -107.7722694093      0.0000000000   0.488640E+02     3.43
     10145  0.00000000  794.066   -176.9881957068   -107.7488936304      0.0000000000   0.488490E+02     4.71
     10150  0.00000000  113.028   -176.9677004951   -107.7376863903      0.0000000000   0.488267E+02     3.21
     10155  0.00000000  407.674   -176.9501198142   -107.6995172941      0.0000000000   0.486768E+02     3.64
     10160  0.00000000  588.022   -176.9527629580   -107.6822080936      0.0000000000   0.486134E+02     4.93
     10165  0.00000000  488.079   -176.9570707558   -107.6828908139      0.0000000000   0.485945E+02     3.00
     10170  0.00000000  123.693   -176.9801064315   -107.7080497715      0.0000000000   0.488219E+02     2.57
     10175  0.00000000  540.569   -176.9853995557   -107.6915285707      0.0000000000   0.487417E+02     3.48
     10180  0.00000000  208.491   -176.9794983005   -107.6873986666      0.0000000000   0.486063E+02     3.00
     10185  0.00000000  681.175   -176.9623477001   -107.6480426025      0.0000000000   0.486364E+02     5.41
     10190  0.00000000  120.231   -176.9384061328   -107.6305380799      0.0000000000   0.485609E+02     3.21
     10195  0.00000000  154.008   -176.9570592653   -107.6405114621      0.0000000000   0.485150E+02     4.71
     10200  0.00000000  243.050   -176.9753064717   -107.6560759029      0.0000000000   0.485863E+02     3.00
     10205  0.00000000  830.724   -176.9873680813   -107.6448347935      0.0000000000   0.487156E+02     2.36
     10210  0.00000000  349.919   -176.9933357080   -107.6584152083      0.0000000000   0.488011E+02     2.14
     10215  0.00000000  642.614   -176.9873475686   -107.6380882131      0.0000000000   0.486457E+02     2.14
     10220  0.00000000  657.186   -176.9665676034   -107.6108902718      0.0000000000   0.487650E+02     2.57
     10225  0.00000000  655.722   -176.9662011462   -107.5958983599      0.0000000000   0.489175E+02     2.84
     10230  0.00000000  618.798   -176.9940839865   -107.6149529178      0.0000000000   0.488732E+02     3.43
     10235  0.00000000  483.757   -177.0065517108   -107.6202752736      0.0000000000   0.490561E+02     2.58
     10240  0.00000000  271.066   -177.0114369853   -107.6171220194      0.0000000000   0.490739E+02     3.30
     10245  0.00000000  415.395   -177.0211545788   -107.6119950738      0.0000000000   0.490640E+02     3.00
     10250  0.00000000  246.727   -177.0186637871   -107.6088110461      0.0000000000   0.490146E+02     4.07
     10255  0.00000000  232.964   -177.0047517105   -107.5904291096      0.0000000000   0.489467E+02     3.00
     10260  0.00000000  226.652   -176.9798568535   -107.5612522935      0.0000000000   0.490846E+02     4.07
     10265  0.00000000  784.785   -176.9800443629   -107.5412856370      0.0000000000   0.489222E+02     3.43
     10270  0.00000000  397.916   -176.9913009436   -107.5573276925      0.0000000000   0.489574E+02     3.43
     10275  0.00000000  218.592   -176.9944321717   -107.5627680390      0.0000000000   0.490507E+02     3.86
     10280  0.00000000  650.275   -177.0125803266   -107.5645765909      0.0000000000   0.490611E+02     4.29
     10285  0.00000000  582.986   -177.0214676440   -107.5687783352      0.0000000000   0.489549E+02     3.86
     10290  0.00000000  393.774   -177.0071036851   -107.5526416948      0.0000000000   0.489582E+02     4.29
     10295  0.00000000  969.553   -177.0072086417   -107.5194678665      0.0000000000   0.489426E+02     5.57
     10300  0.00000000  599.375   -176.9986055034   -107.5127600457      0.0000000000   0.488447E+02     4.93
     10305  0.00000000  122.442   -176.9949454623   -107.5157968808      0.0000000000   0.487732E+02     4.70
     10310  0.00000000  506.080   -176.9950992590   -107.4978578930      0.0000000000   0.486736E+02     3.64
     10315  0.00000000  320.388   -176.9940396324   -107.4994457489      0.0000000000   0.485780E+02     3.85
     10320  0.00000000  252.229   -176.9816817384   -107.4869006676      0.0000000000   0.485306E+02     3.42
     10325  0.00000000  879.550   -176.9765912623   -107.4599512281      0.0000000000   0.482728E+02     4.71
     10330  0.00000000 1256.271   -176.9724995100   -107.4337320889      0.0000000000   0.482423E+02     4.50
     10335  0.00000000 1255.065   -176.9666956923   -107.4094825769      0.0000000000   0.480295E+02     3.05
     10340  0.00000000  638.414   -176.9664177120   -107.4140342265      0.0000000000   0.479450E+02     3.43
     10345  0.00000000  162.859   -176.9678563570   -107.4242524684      0.0000000000   0.478777E+02     4.50
     10350  0.00000000  618.555   -176.9632762072   -107.4043597165      0.0000000000   0.477816E+02     2.79
     10355  0.00000000  565.024   -176.9618030957   -107.3989947785      0.0000000000   0.475265E+02     2.57
     10360  0.00000000  527.602   -176.9581883163   -107.3807740865      0.0000000000   0.475171E+02     4.50
     10365  0.00000000 1123.586   -176.9523779625   -107.3407983209      0.0000000000   0.471214E+02     3.00
     10370  0.00000000  592.532   -176.9460715086   -107.3361635732      0.0000000000   0.470327E+02     4.07
     10375  0.00000000  668.827   -176.9388652447   -107.3163269927      0.0000000000   0.467626E+02     2.25
     10380  0.00000000 1463.539   -176.9326288481   -107.2546784464      0.0000000000   0.467003E+02     2.14
     10385  0.0000000014972.093   -176.9769424036   -105.6942410133      0.0000000000   0.455173E+02     4.07
     10390  0.00000000 8517.217   -176.9813225181   -101.3473636151      0.0000000000   0.433702E+02     2.14
     10395  0.00000000 2975.466   -176.9356078615   -100.8791880418      0.0000000000   0.422623E+02     3.22
     10400  0.00000000 1818.022   -176.8409267999   -100.6180250409      0.0000000000   0.418374E+02     3.00
     10405  0.00000000 1970.653   -176.7462545838   -100.3609157717      0.0000000000   0.415754E+02     1.50
     10410  0.00000000 1721.752   -176.6959065073   -100.1620448157      0.0000000000   0.415533E+02     2.57
     10415  0.00000000 1401.777   -176.6663097688   -100.0173837115      0.0000000000   0.415978E+02     2.14
     10420  0.00000000 1212.823   -176.6973221770    -99.9519677513      0.0000000000   0.416777E+02     2.35
     10425  0.00000000 1414.732   -176.7355988976    -99.8837286553      0.0000000000   0.417415E+02     2.60
     10430  0.00000000 1464.506   -176.7696401886    -99.8129883835      0.0000000000   0.417392E+02     3.00
     10435  0.00000000 1108.938   -176.7937050281    -99.7653438166      0.0000000000   0.417402E+02     3.64
     10440  0.00000000  633.334   -176.8083362559    -99.7494105257      0.0000000000   0.417483E+02     2.14
     10445  0.00000000  446.009   -176.8080715079    -99.7298369673      0.0000000000   0.417385E+02     1.71
     10450  0.00000000  358.894   -176.8085508710    -99.7162975301      0.0000000000   0.416943E+02     2.36
     10455  0.00000000  268.429   -176.7941666455    -99.6772449038      0.0000000000   0.415707E+02     2.38
     10460  0.00000000  406.124   -176.7763920231    -99.6322486452      0.0000000000   0.415417E+02     1.72
     10465  0.00000000  536.129   -176.7692757116    -99.6059048770      0.0000000000   0.414324E+02     2.78
     10470  0.00000000  297.478   -176.7596685161    -99.5860401637      0.0000000000   0.414643E+02     1.71
     10475  0.00000000  272.596   -176.7590579496    -99.5792879436      0.0000000000   0.412813E+02     2.14
     10480  0.00000000  443.204   -176.7634740344    -99.5661426700      0.0000000000   0.412215E+02     2.36
     10485  0.00000000  466.496   -176.7606623502    -99.5505720464      0.0000000000   0.411410E+02     3.00
     10490  0.00000000  186.189   -176.7606576288    -99.5416723614      0.0000000000   0.412280E+02     1.93
     10495  0.00000000  136.428   -176.7620081528    -99.5398238355      0.0000000000   0.411272E+02     2.14
     10500  0.00000000  104.831   -176.7693488633    -99.5459082679      0.0000000000   0.411248E+02     2.74
     10505  0.00000000  106.866   -176.7727582353    -99.5386422938      0.0000000000   0.411136E+02     1.70
     10510  0.00000000  161.833   -176.7718630799    -99.5257355886      0.0000000000   0.410396E+02     1.95
     10515  0.00000000  431.193   -176.7708413920    -99.5025123635      0.0000000000   0.410586E+02     4.93
     10520  0.00000000  683.713   -176.7675261558    -99.4825599727      0.0000000000   0.409639E+02     2.36
     10525  0.00000000  320.000   -176.7640957593    -99.4822778947      0.0000000000   0.408911E+02     3.31
     10530  0.00000000  294.976   -176.7634090801    -99.4698546745      0.0000000000   0.407513E+02     2.14
     10535  0.00000000  293.077   -176.7579527774    -99.4545438775      0.0000000000   0.406540E+02     2.36
     10540  0.00000000  267.134   -176.7551283730    -99.4491072677      0.0000000000   0.405893E+02     1.93
     10545  0.00000000  368.449   -176.7580445667    -99.4466636765      0.0000000000   0.405491E+02     2.85
     10550  0.00000000  472.186   -176.7667353224    -99.4437932164      0.0000000000   0.405547E+02     4.50
     10555  0.00000000  255.619   -176.7702684112    -99.4473552888      0.0000000000   0.404953E+02     3.21
     10560  0.00000000  223.784   -176.7808477441    -99.4561919358      0.0000000000   0.405000E+02     3.02
     10565  0.00000000  430.641   -176.7932192277    -99.4546456693      0.0000000000   0.405571E+02     4.50
     10570  0.00000000  378.884   -176.7896756560    -99.4386607205      0.0000000000   0.403380E+02     2.57
     10575  0.00000000 1183.829   -176.7815312001    -99.3741793064      0.0000000000   0.401524E+02     1.93
     10580  0.00000000 1255.867   -176.7626590855    -99.3278018385      0.0000000000   0.400452E+02     2.79
     10585  0.00000000  226.520   -176.7428159603    -99.3026144868      0.0000000000   0.397834E+02     1.71
     10590  0.00000000  405.505   -176.7351084927    -99.2783558676      0.0000000000   0.396277E+02     2.34
     10595  0.00000000  348.483   -176.7459622757    -99.2885880032      0.0000000000   0.394899E+02     4.06
     10600  0.00000000  269.454   -176.7455563266    -99.2770819580      0.0000000000   0.393240E+02     4.93
     10605  0.00000000  240.179   -176.7470247677    -99.2750002325      0.0000000000   0.392097E+02     2.36
     10610  0.00000000  277.223   -176.7461308847    -99.2642678348      0.0000000000   0.391505E+02     1.93
     10615  0.00000000  299.889   -176.7379112336    -99.2471105859      0.0000000000   0.391440E+02     2.27
     10620  0.00000000  255.853   -176.7330545822    -99.2396364273      0.0000000000   0.390425E+02     2.14
     10625  0.00000000  201.674   -176.7326943118    -99.2377829525      0.0000000000   0.390674E+02     1.72
     10630  0.00000000  447.412   -176.7225701578    -99.2111334681      0.0000000000   0.389922E+02     2.14
     10635  0.00000000  783.303   -176.7044739028    -99.1629693015      0.0000000000   0.390293E+02     1.92
     10640  0.00000000  482.074   -176.6872964517    -99.1420446522      0.0000000000   0.390809E+02     2.36
     10645  0.00000000  269.237   -176.6582579288    -99.0958671554      0.0000000000   0.388440E+02     1.94
     10650  0.00000000  584.482   -176.6231284301    -99.0350332625      0.0000000000   0.390832E+02     1.71
     10655  0.00000000  222.742   -176.6153808856    -99.0225269948      0.0000000000   0.389071E+02     2.14
     10660  0.00000000  327.583   -176.6124168087    -99.0071305451      0.0000000000   0.389313E+02     2.14
     10665  0.00000000  508.214   -176.6152695738    -98.9972270082      0.0000000000   0.388874E+02     2.37
     10670  0.00000000  308.880   -176.6150450906    -98.9930499428      0.0000000000   0.389327E+02     1.71
     10675  0.00000000  183.280   -176.6258191150    -99.0030335096      0.0000000000   0.387916E+02     1.71
     10680  0.00000000  364.166   -176.6219833722    -98.9879888457      0.0000000000   0.385575E+02     1.50
     10685  0.00000000  484.199   -176.6124930777    -98.9617251938      0.0000000000   0.385133E+02     1.29
     10690  0.00000000  419.045   -176.5987717946    -98.9396329495      0.0000000000   0.383133E+02     2.57
     10695  0.00000000  617.644   -176.5441243134    -98.8638355897      0.0000000000   0.380030E+02     2.14
     10700  0.00000000 1060.547   -176.4554797303    -98.7320778737      0.0000000000   0.376132E+02     1.93
     10705  0.00000000 1941.654   -176.3410104984    -98.5074497052      0.0000000000   0.370409E+02     1.08
     10710  0.00000000 3121.319   -176.2206061708    -98.1197204470      0.0000000000   0.365475E+02     1.71
     10715  0.00000000 3019.182   -176.2133682262    -97.8122855909      0.0000000000   0.363048E+02     1.07
     10720  0.00000000 2562.642   -176.3281459709    -97.7040715965      0.0000000000   0.362482E+02     1.50
     10725  0.00000000 1771.309   -176.4175479607    -97.6466028051      0.0000000000   0.361139E+02     1.07
     10730  0.00000000 1208.768   -176.4691460718    -97.6040321954      0.0000000000   0.359758E+02     1.07
     10735  0.00000000 1019.506   -176.5135411630    -97.5735907007      0.0000000000   0.358781E+02     2.35
     10740  0.00000000 1035.458   -176.5605407622    -97.5492746233      0.0000000000   0.358121E+02     1.71
     10745  0.00000000  990.991   -176.6088325711    -97.5309586393      0.0000000000   0.357685E+02     2.78
     10750  0.00000000  960.731   -176.6493627239    -97.5072491297      0.0000000000   0.357248E+02     3.42
     10755  0.00000000  823.551   -176.6827994878    -97.4923576322      0.0000000000   0.356576E+02     2.78
     10760  0.00000000  592.354   -176.7014054951    -97.4813582698      0.0000000000   0.355658E+02     4.24
     10765  0.00000000  368.324   -176.7118895653    -97.4775274099      0.0000000000   0.354644E+02     3.00
     10770  0.00000000  243.359   -176.7184653997    -97.4759423311      0.0000000000   0.353685E+02     3.00
     10775  0.00000000  163.366   -176.7210832315    -97.4744054379      0.0000000000   0.352732E+02     2.36
     10780  0.00000000  198.851   -176.7283231404    -97.4759693027      0.0000000000   0.351561E+02     3.92
     10785  0.00000000  278.973   -176.7061422343    -97.4454051457      0.0000000000   0.349534E+02     1.71
     10790  0.00000000  358.316   -176.7300173379    -97.4583461847      0.0000000000   0.347618E+02     1.93
     10795  0.00000000  513.891   -176.7285748024    -97.4395891252      0.0000000000   0.345116E+02     2.57
     10800  0.00000000  620.132   -176.7001700631    -97.3900638077      0.0000000000   0.342952E+02     2.57
     10805  0.00000000  622.341   -176.7478732281    -97.4138346863      0.0000000000   0.341583E+02     5.14
     10810  0.00000000  697.485   -176.7574196907    -97.3928061686      0.0000000000   0.341588E+02     4.28
     10815  0.00000000  660.794   -176.7626459763    -97.3683690251      0.0000000000   0.342224E+02     3.00
     10820  0.00000000  626.570   -176.7759370111    -97.3519406862      0.0000000000   0.342133E+02     4.71
     10825  0.00000000  506.819   -176.7965838642    -97.3492404836      0.0000000000   0.343409E+02     2.78
     10830  0.00000000  313.744   -176.7941043045    -97.3325316269      0.0000000000   0.344957E+02     2.36
     10835  0.00000000  240.919   -176.7959810353    -97.3283909766      0.0000000000   0.345121E+02     2.78
     10840  0.00000000  275.403   -176.7921073637    -97.3210935084      0.0000000000   0.345333E+02     2.57
     10845  0.00000000  292.398   -176.7811690478    -97.3092240359      0.0000000000   0.346063E+02     2.58
     10850  0.00000000  305.078   -176.7690273304    -97.2966648711      0.0000000000   0.346868E+02     2.78
     10855  0.00000000  245.043   -176.7585530679    -97.2874437620      0.0000000000   0.347067E+02     2.35
     10860  0.00000000  221.606   -176.7580164538    -97.2872317145      0.0000000000   0.347033E+02     2.57
     10865  0.00000000  269.354   -176.7696347318    -97.2963617058      0.0000000000   0.347412E+02     2.35
     10870  0.00000000  274.841   -176.7811666092    -97.3064444794      0.0000000000   0.348077E+02     2.57
     10875  0.00000000  242.741   -176.7890625863    -97.3107351706      0.0000000000   0.348846E+02     1.71
     10880  0.00000000  221.821   -176.8034584227    -97.3240282919      0.0000000000   0.349954E+02     2.57
     10885  0.00000000  271.828   -176.8395298093    -97.3572814490      0.0000000000   0.351244E+02     3.00
     10890  0.00000000  457.004   -176.8668733217    -97.3779587879      0.0000000000   0.353597E+02     2.14
     10895  0.00000000  580.792   -176.9076155231    -97.4116515090      0.0000000000   0.355228E+02     2.36
     10900  0.00000000  416.160   -176.9130653784    -97.4176330531      0.0000000000   0.355781E+02     3.43
     10905  0.00000000  579.004   -176.8688257745    -97.3625165186      0.0000000000   0.354046E+02     2.57
     10910  0.00000000  216.076   -176.8041857830    -97.3018321972      0.0000000000   0.351227E+02     4.07
     10915  0.00000000  204.930   -176.8203529006    -97.3161183201      0.0000000000   0.351410E+02     7.71
     10920  0.00000000  258.937   -176.8618311892    -97.3541510368      0.0000000000   0.353380E+02     7.48
     10925  0.00000000  162.975   -176.8820014900    -97.3769072479      0.0000000000   0.353499E+02     7.65
     10930  0.00000000  299.082   -176.8663765122    -97.3558254287      0.0000000000   0.352940E+02     5.63
     10935  0.00000000  225.674   -176.8503930078    -97.3403132599      0.0000000000   0.352979E+02     4.29
     10940  0.00000000  252.223   -176.8461000556    -97.3340431307      0.0000000000   0.352881E+02     2.79
     10945  0.00000000  278.567   -176.8392495420    -97.3242077985      0.0000000000   0.354098E+02     1.93
     10950  0.00000000  497.204   -176.8149495347    -97.2897427402      0.0000000000   0.355013E+02     2.57
     10955  0.00000000 1434.826   -176.7554730539    -97.1856340502      0.0000000000   0.353363E+02     4.50
     10960  0.00000000 1363.699   -176.6236890238    -96.9896719513      0.0000000000   0.350207E+02     3.31
     10965  0.00000000  900.216   -176.5471648674    -96.8914817066      0.0000000000   0.347104E+02     3.23
     10970  0.00000000 1078.653   -176.5601112126    -96.8627639393      0.0000000000   0.343336E+02     1.93
     10975  0.00000000 1298.061   -176.5956738381    -96.8153089991      0.0000000000   0.338551E+02     2.57
     10980  0.00000000  837.781   -176.5858399595    -96.7556646044      0.0000000000   0.333953E+02     3.64
     10985  0.00000000  630.392   -176.5372255633    -96.6865443664      0.0000000000   0.331535E+02     2.35
     10990  0.00000000  466.846   -176.5407233028    -96.6720655728      0.0000000000   0.331676E+02     1.50
     10995  0.00000000  365.570   -176.5733283020    -96.6905957739      0.0000000000   0.332899E+02     2.79
     11000  0.00000000  424.847   -176.5652114624    -96.6658108757      0.0000000000   0.334402E+02     2.78
     11005  0.00000000  477.148   -176.5422825650    -96.6240552002      0.0000000000   0.336141E+02     1.71
     11010  0.00000000  605.192   -176.5493444822    -96.6092481661      0.0000000000   0.338145E+02     3.21
     11015  0.00000000  655.926   -176.5552651617    -96.5930770277      0.0000000000   0.340145E+02     1.72
     11020  0.00000000  641.232   -176.5431732426    -96.5574726075      0.0000000000   0.341638E+02     1.71
     11025  0.00000000  665.920   -176.5347255673    -96.5253014190      0.0000000000   0.342338E+02     2.14
     11030  0.00000000  629.706   -176.5308148640    -96.4995088457      0.0000000000   0.342525E+02     4.50
     11035  0.00000000  511.678   -176.5189283568    -96.4712297416      0.0000000000   0.342631E+02     1.71
     11040  0.00000000  383.328   -176.5070515257    -96.4490409920      0.0000000000   0.342855E+02     1.93
     11045  0.00000000  243.617   -176.5034478835    -96.4432897056      0.0000000000   0.342666E+02     2.35
     11050  0.00000000  207.439   -176.5054368884    -96.4444081449      0.0000000000   0.342197E+02     3.00
     11055  0.00000000  201.079   -176.4937386753    -96.4311208288      0.0000000000   0.342216E+02     2.78
     11060  0.00000000  188.846   -176.5050569809    -96.4419184691      0.0000000000   0.342408E+02     3.03
     11065  0.00000000  226.100   -176.5113957029    -96.4459452173      0.0000000000   0.342371E+02     3.21
     11070  0.00000000  204.886   -176.4976918915    -96.4313890268      0.0000000000   0.342762E+02     1.93
     11075  0.00000000  185.005   -176.5099342030    -96.4423772517      0.0000000000   0.343956E+02     3.00
     11080  0.00000000  193.910   -176.5059884247    -96.4363755719      0.0000000000   0.345128E+02     2.78
     11085  0.00000000  222.620   -176.5068748780    -96.4347120276      0.0000000000   0.346697E+02     4.07
     11090  0.00000000  298.925   -176.5131717899    -96.4383634518      0.0000000000   0.347110E+02     4.14
     11095  0.00000000  431.455   -176.4927572652    -96.4127306773      0.0000000000   0.346367E+02     3.64
     11100  0.00000000  524.781   -176.4760987288    -96.3871171300      0.0000000000   0.345669E+02     4.93
     11105  0.00000000  856.515   -176.4655004065    -96.3609102172      0.0000000000   0.345149E+02     1.93
     11110  0.00000000 1305.207   -176.4750638706    -96.3373456235      0.0000000000   0.345424E+02     2.14
     11115  0.00000000 1250.160   -176.4389539875    -96.2636125932      0.0000000000   0.345664E+02     1.92
     11120  0.00000000 1301.539   -176.3843053736    -96.1497295534      0.0000000000   0.344243E+02     3.84
     11125  0.00000000 1220.135   -176.3933254696    -96.0975290148      0.0000000000   0.343248E+02     4.71
     11130  0.00000000 1070.612   -176.4163467250    -96.0660663416      0.0000000000   0.341580E+02     9.41
     11135  0.00000000  732.355   -176.4147993204    -96.0298749322      0.0000000000   0.340372E+02     8.28
     11140  0.00000000  482.829   -176.4085468238    -96.0056514851      0.0000000000   0.340095E+02     5.22
     11145  0.00000000  434.124   -176.4245349559    -96.0124967890      0.0000000000   0.339828E+02     6.85
