step          none      temp        potential_energy  none                none              none          none
       330  0.00000000  219.580   -177.0758152617   -172.0357991052      0.0000000000   0.137348E+01     6.15
       335  0.00000000  185.256   -177.0946382715   -172.0523837887      0.0000000000   0.136579E+01     7.00
       340  0.00000000  104.681   -177.1001639547   -172.0577661459      0.0000000000   0.134887E+01     7.22
       345  0.00000000  135.099   -177.0951453539   -172.0508836347      0.0000000000   0.136331E+01     7.22
       350  0.00000000  220.189   -177.1024763872   -172.0551022610      0.0000000000   0.134664E+01     7.44
       355  0.00000000  279.683   -177.0895242514   -172.0411273016      0.0000000000   0.134835E+01     9.17
       360  0.00000000  283.248   -177.1081738076   -172.0606931142      0.0000000000   0.137661E+01     9.88
       365  0.00000000  271.762   -177.1043840180   -172.0571329903      0.0000000000   0.136880E+01     7.01
       370  0.00000000  327.126   -177.0914981935   -172.0413508300      0.0000000000   0.139972E+01     5.70
       375  0.00000000  266.234   -177.1144147513   -172.0640439186      0.0000000000   0.139601E+01     7.45
       380  0.00000000  250.023   -177.0895932704   -172.0385578507      0.0000000000   0.139720E+01    10.51
       385  0.00000000  240.849   -177.0950484633   -172.0432090487      0.0000000000   0.141057E+01     5.26
       390  0.00000000  300.131   -177.1023675568   -172.0489643462      0.0000000000   0.142397E+01     5.25
       395  0.00000000  340.869   -177.1049574775   -172.0515568344      0.0000000000   0.144877E+01     9.42
       400  0.00000000  322.611   -177.1044037611   -172.0523637614      0.0000000000   0.147780E+01     7.51
       405  0.00000000  325.897   -177.1289787430   -172.0759481778      0.0000000000   0.149386E+01     7.66
       410  0.00000000  370.885   -177.1295135792   -172.0751581036      0.0000000000   0.152215E+01     7.88
       415  0.00000000  495.919   -177.1433043518   -172.0848216519      0.0000000000   0.152729E+01     7.66
       420  0.00000000  879.647   -177.1532548846   -172.0800017100      0.0000000000   0.160227E+01     4.39
       425  0.00000000 1802.089   -177.1722380659   -172.0434030145      0.0000000000   0.167160E+01     3.07
       430  0.00000000 3142.392   -177.2084420570   -171.9163816867      0.0000000000   0.185306E+01     4.39
       435  0.00000000 2350.242   -177.2178646398   -171.7681347713      0.0000000000   0.206932E+01     2.85
       440  0.00000000  966.314   -177.2096075659   -171.7099605748      0.0000000000   0.224684E+01     2.63
       445  0.00000000  392.350   -177.1966439625   -171.6861191186      0.0000000000   0.235731E+01     1.98
       450  0.00000000  331.807   -177.1887684115   -171.6684329522      0.0000000000   0.244022E+01     3.07
       455  0.00000000  453.239   -177.1789399953   -171.6437487979      0.0000000000   0.251032E+01     2.85
       460  0.00000000  740.149   -177.1661650692   -171.6047581077      0.0000000000   0.258497E+01     3.08
       465  0.00000000 1303.581   -177.1327309208   -171.5144841168      0.0000000000   0.267771E+01     3.50
       470  0.00000000  820.895   -177.0734756258   -171.4142074531      0.0000000000   0.277023E+01     4.36
       475  0.00000000  297.409   -177.0362912387   -171.3715423982      0.0000000000   0.281015E+01     2.41
       480  0.00000000  403.508   -177.0391228666   -171.3616766082      0.0000000000   0.279427E+01     2.63
       485  0.00000000  455.154   -177.0622762314   -171.3702253564      0.0000000000   0.274866E+01     2.64
       490  0.00000000  465.113   -177.0703262109   -171.3650131083      0.0000000000   0.270530E+01     1.10
       495  0.00000000  680.818   -177.0718574184   -171.3506733323      0.0000000000   0.266974E+01     5.26
       500  0.00000000  569.149   -177.0621551755   -171.3242092800      0.0000000000   0.262904E+01     2.64
       505  0.00000000  629.001   -177.0699611214   -171.3114082288      0.0000000000   0.256901E+01     1.76
       510  0.00000000  786.371   -177.0970684663   -171.3083648628      0.0000000000   0.248484E+01     2.20
       515  0.00000000  854.519   -177.1144153604   -171.2915748004      0.0000000000   0.238153E+01     2.63
       520  0.00000000  767.442   -177.1360596828   -171.2815694326      0.0000000000   0.229066E+01     3.29
       525  0.00000000  457.542   -177.1413444662   -171.2711780767      0.0000000000   0.221843E+01     2.63
       530  0.00000000  352.489   -177.1483273259   -171.2690095676      0.0000000000   0.213981E+01     3.29
       535  0.00000000  208.554   -177.1487723064   -171.2654829287      0.0000000000   0.208097E+01     2.62
       540  0.00000000  363.335   -177.1480251082   -171.2555635338      0.0000000000   0.208613E+01     1.97
       545  0.00000000  508.269   -177.1632981577   -171.2611242195      0.0000000000   0.210032E+01     3.72
       550  0.00000000  532.753   -177.1593158415   -171.2455129253      0.0000000000   0.210740E+01     3.08
       555  0.00000000  427.484   -177.1739865805   -171.2503756134      0.0000000000   0.209485E+01     4.84
       560  0.00000000  321.535   -177.1785134461   -171.2486485966      0.0000000000   0.208852E+01     2.84
       565  0.00000000  243.295   -177.1688849860   -171.2359295729      0.0000000000   0.209846E+01     1.75
       570  0.00000000  250.153   -177.1646901548   -171.2284931258      0.0000000000   0.213606E+01     2.41
       575  0.00000000  350.010   -177.1546443281   -171.2157987532      0.0000000000   0.219477E+01     3.29
       580  0.00000000  273.276   -177.1404647302   -171.2039372484      0.0000000000   0.223597E+01     3.95
       585  0.00000000  423.509   -177.1453484394   -171.2026231705      0.0000000000   0.226540E+01     4.74
       590  0.00000000  656.833   -177.1364537816   -171.1825697968      0.0000000000   0.224406E+01     3.94
       595  0.00000000  567.702   -177.1687178201   -171.2089435722      0.0000000000   0.223611E+01    17.05
       600  0.00000000  658.588   -177.1578196940   -171.1867669264      0.0000000000   0.225815E+01     7.23
       605  0.00000000  705.030   -177.1085737455   -171.1244157568      0.0000000000   0.235882E+01     4.17
       610  0.00000000  501.327   -177.1178715767   -171.1255547027      0.0000000000   0.244882E+01     7.44
       615  0.00000000  366.507   -177.1123567195   -171.1131795644      0.0000000000   0.249171E+01     7.47
       620  0.00000000  422.069   -177.1184426325   -171.1089857395      0.0000000000   0.251967E+01    13.78
       625  0.00000000  347.964   -177.1295384338   -171.1143440281      0.0000000000   0.251636E+01     8.11
       630  0.00000000  232.757   -177.1086565081   -171.0910706874      0.0000000000   0.252959E+01     8.09
       635  0.00000000  233.948   -177.1250692632   -171.1042986035      0.0000000000   0.258257E+01    23.59
       640  0.00000000  357.986   -177.0907862687   -171.0658168792      0.0000000000   0.266638E+01     7.90
       645  0.00000000  352.855   -177.1016894514   -171.0762612638      0.0000000000   0.273690E+01     9.22
       650  0.00000000  300.824   -177.0826381505   -171.0549922804      0.0000000000   0.277424E+01     8.09
       655  0.00000000  330.895   -177.1181381693   -171.0860010588      0.0000000000   0.277770E+01     7.68
       660  0.00000000  248.637   -177.1093558811   -171.0771072320      0.0000000000   0.276218E+01     8.54
       665  0.00000000  154.691   -177.1293877265   -171.0981700056      0.0000000000   0.277158E+01     6.52
       670  0.00000000  258.649   -177.1165131028   -171.0827322728      0.0000000000   0.282142E+01     7.24
       675  0.00000000  401.097   -177.1225081337   -171.0866908666      0.0000000000   0.288419E+01     5.48
       680  0.00000000  417.355   -177.1067889219   -171.0723733782      0.0000000000   0.292727E+01    10.08
       685  0.00000000  485.197   -177.1102899998   -171.0761539325      0.0000000000   0.294609E+01     9.86
       690  0.00000000  439.706   -177.1202884729   -171.0857479063      0.0000000000   0.293887E+01     6.79
       695  0.00000000  307.954   -177.1210189810   -171.0867261979      0.0000000000   0.290962E+01     9.65
       700  0.00000000  217.355   -177.1251440125   -171.0913396356      0.0000000000   0.288581E+01     7.51
       705  0.00000000  184.741   -177.1190643553   -171.0857952944      0.0000000000   0.289006E+01    11.16
       710  0.00000000  211.342   -177.1149711639   -171.0814093971      0.0000000000   0.289675E+01    10.06
       715  0.00000000  288.779   -177.1087196108   -171.0749085473      0.0000000000   0.289881E+01     7.46
       720  0.00000000  362.589   -177.1041967354   -171.0705946338      0.0000000000   0.291583E+01     7.67
       725  0.00000000  387.052   -177.0982989172   -171.0649185995      0.0000000000   0.293387E+01     4.82
       730  0.00000000  476.434   -177.1042252560   -171.0685511936      0.0000000000   0.291331E+01     7.88
       735  0.00000000  580.981   -177.1155169206   -171.0787038187      0.0000000000   0.288088E+01     7.22
       740  0.00000000  565.383   -177.1230179315   -171.0860074222      0.0000000000   0.287664E+01     7.47
       745  0.00000000  409.499   -177.1194379937   -171.0823015413      0.0000000000   0.288277E+01     7.65
       750  0.00000000  333.337   -177.1300911620   -171.0941052160      0.0000000000   0.287990E+01     7.24
       755  0.00000000  442.442   -177.1330201375   -171.0963760742      0.0000000000   0.289407E+01    12.94
       760  0.00000000  490.632   -177.1345436905   -171.0976882092      0.0000000000   0.290282E+01     7.90
       765  0.00000000  670.524   -177.0665816956   -171.0261974288      0.0000000000   0.287205E+01    45.29
       770  0.00000000 1075.374   -177.1062923760   -171.0384129513      0.0000000000   0.282284E+01     5.47
       775  0.00000000 8714.735   -177.1076559083   -170.5126138751      0.0000000000   0.287070E+01     7.42
       780  0.0000000010388.286   -177.1350124873   -169.9468875630      0.0000000000   0.301536E+01     7.46
       785  0.00000000 2150.963   -177.1124898417   -169.7015923747      0.0000000000   0.326124E+01     7.22
       790  0.00000000 1253.824   -177.0862994393   -169.6190518252      0.0000000000   0.338559E+01     8.13
       795  0.00000000  627.025   -177.0600378321   -169.5845728966      0.0000000000   0.345929E+01     6.76
       800  0.00000000  191.207   -177.0696219914   -169.5938142196      0.0000000000   0.348315E+01    14.01
       805  0.00000000  233.731   -177.0901675436   -169.6054852590      0.0000000000   0.346728E+01    11.84
       810  0.00000000  152.994   -177.0903490271   -169.6028195537      0.0000000000   0.346064E+01     5.72
